"id","parent1","parent2"
"16400_N101","Brite_Eyes","My_Girl"
"16400_N102","Brite_Eyes","My_Girl"
"16400_N092","Brite_Eyes","My_Girl"
"16400_N093","Brite_Eyes","My_Girl"
"16400_N095","Brite_Eyes","My_Girl"
"16400_N098","Brite_Eyes","My_Girl"
"16400_N099","Brite_Eyes","My_Girl"
"16400_N100","Brite_Eyes","My_Girl"
"16400_N023","Brite_Eyes","My_Girl"
"16400_N025","Brite_Eyes","My_Girl"
"16400_N028","Brite_Eyes","My_Girl"
"16400_N031","Brite_Eyes","My_Girl"
"16400_N035","Brite_Eyes","My_Girl"
"16400_N036","Brite_Eyes","My_Girl"
"16400_N038","Brite_Eyes","My_Girl"
"16400_N040","Brite_Eyes","My_Girl"
"16400_N041","Brite_Eyes","My_Girl"
"16400_N043","Brite_Eyes","My_Girl"
"16400_N044","Brite_Eyes","My_Girl"
"16400_N045","Brite_Eyes","My_Girl"
"16400_N047","Brite_Eyes","My_Girl"
"16400_N050","Brite_Eyes","My_Girl"
"16400_N051","Brite_Eyes","My_Girl"
"16400_N052","Brite_Eyes","My_Girl"
"16400_N053","Brite_Eyes","My_Girl"
"16400_N054","Brite_Eyes","My_Girl"
"16400_N055","Brite_Eyes","My_Girl"
"16400_N057","Brite_Eyes","My_Girl"
"16400_N058","Brite_Eyes","My_Girl"
"16400_N060","Brite_Eyes","My_Girl"
"16400_N062","Brite_Eyes","My_Girl"
"16400_N065","Brite_Eyes","My_Girl"
"16400_N066","Brite_Eyes","My_Girl"
"16400_N069","Brite_Eyes","My_Girl"
"16400_N072","Brite_Eyes","My_Girl"
"16400_N073","Brite_Eyes","My_Girl"
"16400_N076","Brite_Eyes","My_Girl"
"16400_N080","Brite_Eyes","My_Girl"
"16400_N084","Brite_Eyes","My_Girl"
"16400_N086","Brite_Eyes","My_Girl"
"16400_N088","Brite_Eyes","My_Girl"
"16400_N089","Brite_Eyes","My_Girl"
"16400_N091","Brite_Eyes","My_Girl"
"16405_N075","Brite_Eyes","My_Girl"
"16405_N076","Brite_Eyes","My_Girl"
"16405_N077","Brite_Eyes","My_Girl"
"16405_N081","Brite_Eyes","My_Girl"
"16405_N082","Brite_Eyes","My_Girl"
"16405_N084","Brite_Eyes","My_Girl"
"16405_N086","Brite_Eyes","My_Girl"
"16405_N087","Brite_Eyes","My_Girl"
"16405_N088","Brite_Eyes","My_Girl"
"16405_N090","Brite_Eyes","My_Girl"
"16405_N092","Brite_Eyes","My_Girl"
"16405_N093","Brite_Eyes","My_Girl"
"16405_N095","Brite_Eyes","My_Girl"
"16405_N096","Brite_Eyes","My_Girl"
"16405_N097","Brite_Eyes","My_Girl"
"16405_N098","Brite_Eyes","My_Girl"
"16405_N099","Brite_Eyes","My_Girl"
"16405_N100","Brite_Eyes","My_Girl"
"16405_N101","Brite_Eyes","My_Girl"
"16405_N102","Brite_Eyes","My_Girl"
"16405_N103","Brite_Eyes","My_Girl"
"16405_N104","Brite_Eyes","My_Girl"
"16405_N105","Brite_Eyes","My_Girl"
"16405_N106","Brite_Eyes","My_Girl"
"16405_N107","Brite_Eyes","My_Girl"
"16405_N109","Brite_Eyes","My_Girl"
"16405_N110","Brite_Eyes","My_Girl"
"16405_N112","Brite_Eyes","My_Girl"
"16405_N113","Brite_Eyes","My_Girl"
"16405_N115","Brite_Eyes","My_Girl"
"16405_N117","Brite_Eyes","My_Girl"
"16405_N120","Brite_Eyes","My_Girl"
"16405_N122","Brite_Eyes","My_Girl"
"16405_N123","Brite_Eyes","My_Girl"
"16405_N125","Brite_Eyes","My_Girl"
"16405_N127","Brite_Eyes","My_Girl"
"16035_N016","Brite_Eyes","My_Girl"
"16035_N017","Brite_Eyes","My_Girl"
"16035_N018","Brite_Eyes","My_Girl"
"16035_N020","Brite_Eyes","My_Girl"
"16035_N024","Brite_Eyes","My_Girl"
"16035_N025","Brite_Eyes","My_Girl"
"16035_N026","Brite_Eyes","My_Girl"
"16035_N028","Brite_Eyes","My_Girl"
"16035_N029","Brite_Eyes","My_Girl"
"16035_N030","Brite_Eyes","My_Girl"
"16035_N031","Brite_Eyes","My_Girl"
"16035_N032","Brite_Eyes","My_Girl"
"16035_N033","Brite_Eyes","My_Girl"
"16035_N034","Brite_Eyes","My_Girl"
"16035_N035","Brite_Eyes","My_Girl"
"16035_N036","Brite_Eyes","My_Girl"
"16035_N038","Brite_Eyes","My_Girl"
"16035_N039","Brite_Eyes","My_Girl"
"16035_N040","Brite_Eyes","My_Girl"
"16035_N042","Brite_Eyes","My_Girl"
"16035_N044","Brite_Eyes","My_Girl"
"16035_N045","Brite_Eyes","My_Girl"
"16035_N046","Brite_Eyes","My_Girl"
"16035_N047","Brite_Eyes","My_Girl"
"16035_N048","Brite_Eyes","My_Girl"
"16035_N049","Brite_Eyes","My_Girl"
"16035_N051","Brite_Eyes","My_Girl"
"16035_N054","Brite_Eyes","My_Girl"
"16035_N056","Brite_Eyes","My_Girl"
"16035_N058","Brite_Eyes","My_Girl"
"16400_N001","Brite_Eyes","My_Girl"
"16400_N002","Brite_Eyes","My_Girl"
"16400_N003","Brite_Eyes","My_Girl"
"16400_N004","Brite_Eyes","My_Girl"
"16400_N005","Brite_Eyes","My_Girl"
"16400_N006","Brite_Eyes","My_Girl"
"16400_N007","Brite_Eyes","My_Girl"
"16400_N008","Brite_Eyes","My_Girl"
"16400_N010","Brite_Eyes","My_Girl"
"16400_N011","Brite_Eyes","My_Girl"
"16400_N012","Brite_Eyes","My_Girl"
"16400_N013","Brite_Eyes","My_Girl"
"16400_N014","Brite_Eyes","My_Girl"
"16400_N015","Brite_Eyes","My_Girl"
"16400_N016","Brite_Eyes","My_Girl"
"16400_N017","Brite_Eyes","My_Girl"
"16400_N018","Brite_Eyes","My_Girl"
"16400_N020","Brite_Eyes","My_Girl"
"16400_N021","Brite_Eyes","My_Girl"
"16400_N022","Brite_Eyes","My_Girl"
"16405_N006","Brite_Eyes","My_Girl"
"16405_N008","Brite_Eyes","My_Girl"
"16405_N010","Brite_Eyes","My_Girl"
"16405_N013","Brite_Eyes","My_Girl"
"16405_N020","Brite_Eyes","My_Girl"
"16405_N021","Brite_Eyes","My_Girl"
"16405_N023","Brite_Eyes","My_Girl"
"16405_N024","Brite_Eyes","My_Girl"
"16405_N026","Brite_Eyes","My_Girl"
"16405_N028","Brite_Eyes","My_Girl"
"16405_N030","Brite_Eyes","My_Girl"
